0 20 6.80652                                                                                                                 	1 20 12.7682
0 24 6.78744                                                                                                                 	1 24 12.8375
0 28 6.66023                                                                                                                 	1 28 12.8796
0 32 6.34192                                                                                                                 	1 32 12.9069
0 36 6.33215                                                                                                                 	1 36 12.8677
0 40 6.38468                                                                                                                 	1 40 12.9441
0 48 6.33649                                                                                                                 	1 48 12.9293
0 56 6.22042                                                                                                                 	1 56 12.7735
0 64 6.35651                                                                                                                 	1 64 12.5698
0 80 6.36805                                                                                                                 	1 80 12.5812
0 96 6.35263                                                                                                                 	1 96 12.6167
0 128 6.34626                                                                                                                  	1 128 12.631
0 140 5.50609                                                                                                                  	1 140 11.3919
0 192 6.15969                                                                                                                  	1 192 12.6638
0 220 6.21191                                                                                                                  	1 220 12.6717
0 256 5.86009                                                                                                                  	1 256 12.5856
0 300 5.4855                                                                                                                   	1 300 12.678
0 400 4.52368	1 400 12.3856
0 512 4.36095	1 512 11.7811
0 600 4.468	1 600 10.5834
0 800 4.29867	1 800 9.6653
0 1024 4.06679	1 1024 8.89711
0 1500 3.15472	1 1500 9.52617
0 2048 1.78117	1 2048 8.65674
0 3000 1.00158	1 3000 6.96054
0 4096 1.1209	1 4096 4.52364
0 5000 1.14117	1 5000 3.07823
0 6000 1.10044	1 6000 2.72904
0 8000 1.09533	1 8000 2.39833
0 10000 1.07109	1 10000 2.15327
0 12000 1.13277	1 12000 2.19522
0 16000 1.12548	1 16000 2.26597
	
